time,block_index,position,velocity,acceleration
0.0170,25,26.351553,0.000000,0.000000
0.0170,26,27.409353,0.000000,-0.000000
0.0170,27,28.400149,0.000000,0.000000
0.0170,28,29.369482,0.000000,0.000000
0.0170,29,30.498940,0.000000,-0.000000
0.0170,30,31.426022,0.000000,0.000000
0.0170,31,32.510162,0.000000,-0.000000
0.0170,32,33.612209,0.000000,0.000000
0.0170,33,34.735084,0.000000,-0.000000
0.0170,34,35.783376,0.000000,0.000000
0.0170,35,36.697047,0.000000,-0.000000
0.0170,36,37.784315,0.000000,0.000000
0.0170,37,38.657568,0.000000,-0.000000
0.0170,38,39.458459,0.000000,0.000000
0.0170,39,40.516858,0.000000,0.000000
0.0170,40,41.614774,0.000000,-0.000000
0.0170,41,42.557305,0.000000,0.000000
0.0170,42,43.737907,0.000000,0.000000
0.0170,43,44.817367,0.000000,0.000000
0.0170,44,45.759014,0.000000,-0.000000
0.0170,45,46.821013,0.000000,0.000000
0.0170,46,48.005579,0.000000,-0.000000
0.0170,47,48.919696,0.000000,0.000000
0.0170,48,50.028940,0.000000,0.000000
0.0170,49,51.127501,0.000000,0.000000
0.0170,50,52.069150,0.000000,-0.000000
0.0170,51,52.903255,0.000000,0.000000
0.0170,52,53.901623,0.000000,0.000000
0.0170,53,54.893541,0.000000,0.000000
0.0170,54,56.052159,0.000000,-0.000000
0.0170,55,57.179972,0.000000,0.000000
0.0170,56,58.203242,0.000000,0.000000
0.0170,57,59.080779,0.000000,0.000000
0.0170,58,59.950593,0.000000,-0.000000
0.0170,59,61.082517,0.000000,0.000000
0.0170,60,61.905012,0.000000,0.000000
0.0170,61,63.021984,0.000000,-0.000000
0.0170,62,64.039230,0.000000,0.000000
0.0170,63,65.096567,0.000000,0.000000
0.0170,64,66.146504,0.000000,0.000000
0.0170,65,67.273437,0.000000,-0.000000
0.0170,66,68.387039,0.000000,0.000000
0.0170,67,69.205714,0.000000,0.000000
0.0170,68,70.304260,0.000000,-0.000000
0.0170,69,71.387302,0.000000,0.000000
0.0170,70,72.580560,0.000000,0.000000
0.0170,71,73.701861,0.000000,0.000000
0.0170,72,74.636005,0.000000,0.000000
0.0170,73,75.523527,0.000000,0.000000
0.0170,74,76.462761,0.000000,-0.000000
0.0170,75,77.342878,0.000000,0.000000
0.0170,76,78.163219,0.000000,-0.000000
0.0170,77,79.151623,0.000000,0.000000
0.0170,78,80.142670,0.000000,0.000000
