time,block_x,block_y,position_x,position_y,velocity_x,velocity_y,acceleration_x,acceleration_y
0.0500,0,3,1.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,0,4,1.000000,5.000000,0.000000,0.000000,0.000000,-0.000000
0.0500,0,5,1.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,0,6,1.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,0,7,1.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,1,0,2.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,1,1,2.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,1,2,2.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,1,3,2.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,1,4,2.000000,5.000000,0.000000,0.000000,0.000000,-0.000000
0.0500,1,5,2.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,1,6,2.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,1,7,2.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,2,0,3.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,2,1,3.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,2,2,3.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,2,3,3.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,2,4,3.000000,5.000000,0.000004,0.000000,0.000228,-0.000000
0.0500,2,5,3.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,2,6,3.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,2,7,3.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,3,0,4.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,3,1,4.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,3,2,4.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,3,3,4.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,3,4,4.000339,5.000000,0.009998,0.000000,0.157134,-0.000000
0.0500,3,5,4.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,3,6,4.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,3,7,4.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,4,0,5.000000,1.000000,0.000000,0.000000,-0.000000,0.000000
0.0500,4,1,5.000000,2.000000,0.000000,0.000000,-0.000000,0.000000
0.0500,4,2,5.000000,3.000000,0.000000,0.000002,-0.000000,0.000114
0.0500,4,3,5.000000,4.000170,0.000000,0.004999,-0.000000,0.078567
0.0500,4,4,5.199322,5.099661,-0.020003,-0.010002,-0.314724,-0.157362
0.0500,4,5,5.000000,6.000170,0.000000,0.004999,-0.000000,0.078567
0.0500,4,6,5.000000,7.000000,0.000000,0.000002,-0.000000,0.000114
0.0500,4,7,5.000000,8.000000,0.000000,0.000000,-0.000000,0.000000
0.0500,5,0,6.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,5,1,6.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,5,2,6.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,5,3,6.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,5,4,6.000339,5.000000,0.009998,0.000000,0.157134,-0.000000
0.0500,5,5,6.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,5,6,6.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,5,7,6.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,6,0,7.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,6,1,7.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,6,2,7.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,6,3,7.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,6,4,7.000000,5.000000,0.000004,0.000000,0.000228,-0.000000
0.0500,6,5,7.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,6,6,7.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,6,7,7.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,7,0,8.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,7,1,8.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,7,2,8.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,7,3,8.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,7,4,8.000000,5.000000,0.000000,0.000000,0.000000,-0.000000
0.0500,7,5,8.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,7,6,8.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.0500,7,7,8.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,0,0,1.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,0,1,1.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,0,2,1.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,0,3,1.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,0,4,1.000000,5.000000,0.000000,0.000000,0.000000,-0.000000
0.1100,0,5,1.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,0,6,1.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,0,7,1.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,1,0,2.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,1,1,2.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,1,2,2.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,1,3,2.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,1,4,2.000000,5.000000,0.000000,0.000000,0.000001,-0.000000
0.1100,1,5,2.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,1,6,2.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,1,7,2.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,2,0,3.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,2,1,3.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,2,2,3.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,2,3,3.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,2,4,3.000001,5.000000,0.000037,0.000000,0.000909,-0.000000
0.1100,2,5,3.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,2,6,3.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,2,7,3.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,3,0,4.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,3,1,4.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,3,2,4.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,3,3,4.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,3,4,4.001232,5.000000,0.017998,0.000000,0.111546,-0.000000
0.1100,3,5,4.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,3,6,4.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,3,7,4.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,4,0,5.000000,1.000000,0.000000,0.000000,-0.000000,0.000000
0.1100,4,1,5.000000,2.000000,0.000000,0.000000,-0.000000,0.000000
0.1100,4,2,5.000000,3.000001,0.000000,0.000018,-0.000000,0.000455
0.1100,4,3,5.000000,4.000616,0.000000,0.008999,-0.000000,0.055773
0.1100,4,4,5.197533,5.098767,-0.036070,-0.018035,-0.224912,-0.112456
0.1100,4,5,5.000000,6.000616,0.000000,0.008999,-0.000000,0.055773
0.1100,4,6,5.000000,7.000001,0.000000,0.000018,-0.000000,0.000455
0.1100,4,7,5.000000,8.000000,0.000000,0.000000,-0.000000,0.000000
0.1100,5,0,6.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,5,1,6.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,5,2,6.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,5,3,6.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,5,4,6.001232,5.000000,0.017998,0.000000,0.111546,-0.000000
0.1100,5,5,6.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,5,6,6.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,5,7,6.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,6,0,7.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,6,1,7.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,6,2,7.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,6,3,7.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,6,4,7.000001,5.000000,0.000037,0.000000,0.000909,-0.000000
0.1100,6,5,7.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,6,6,7.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,6,7,7.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,7,0,8.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,7,1,8.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,7,2,8.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,7,3,8.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,7,4,8.000000,5.000000,0.000000,0.000000,0.000001,-0.000000
0.1100,7,5,8.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,7,6,8.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.1100,7,7,8.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,0,0,1.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,0,1,1.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,0,2,1.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,0,3,1.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,0,4,1.000000,5.000000,0.000000,0.000000,0.000000,-0.000000
0.1600,0,5,1.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,0,6,1.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,0,7,1.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,1,0,2.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,1,1,2.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,1,2,2.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,1,3,2.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,1,4,2.000000,5.000000,0.000000,0.000000,0.000003,-0.000000
0.1600,1,5,2.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
