time,kinetic_energy,potential_energy,total_energy
2.3010,0.239271,0.260729,0.500000
2.3170,0.233851,0.266149,0.500000
2.3340,0.228339,0.271661,0.500000
2.3510,0.223122,0.276878,0.500000
2.3670,0.218515,0.281485,0.500000
2.3840,0.213976,0.286024,0.500000
2.4010,0.209833,0.290167,0.500000
2.4170,0.206321,0.293679,0.500000
2.4340,0.203024,0.296976,0.500000
2.4510,0.200192,0.299808,0.500000
2.4670,0.197967,0.302033,0.500000
2.4840,0.196080,0.303920,0.500000
2.5010,0.194692,0.305308,0.500000
2.5170,0.193844,0.306156,0.500000
2.5340,0.193429,0.306571,0.500000
2.5510,0.193509,0.306491,0.500000
2.5670,0.194027,0.305972,0.500000
2.5840,0.195038,0.304962,0.500000
2.6010,0.196504,0.303496,0.500000
2.6170,0.198282,0.301718,0.500000
2.6340,0.200572,0.299428,0.500000
2.6510,0.203248,0.296752,0.500000
2.6670,0.206093,0.293907,0.500000
2.6840,0.209433,0.290567,0.500000
2.7010,0.213065,0.286934,0.500000
2.7170,0.216719,0.283281,0.500000
2.7340,0.220815,0.279185,0.500000
2.7510,0.225093,0.274907,0.500000
2.7670,0.229249,0.270750,0.500000
2.7840,0.233766,0.266233,0.500000
2.8010,0.238347,0.261653,0.500000
2.8170,0.242680,0.257320,0.500000
2.8340,0.247269,0.252731,0.500000
2.8510,0.251804,0.248196,0.500000
2.8670,0.255988,0.244011,0.500000
2.8840,0.260310,0.239689,0.500000
2.9010,0.264470,0.235529,0.500000
2.9170,0.268207,0.231793,0.500000
2.9340,0.271958,0.228042,0.500000
2.9510,0.275455,0.224544,0.500000
2.9670,0.278491,0.221509,0.500000
2.9840,0.281422,0.218577,0.500000
3.0010,0.284030,0.215969,0.500000
3.0170,0.286174,0.213826,0.500000
3.0340,0.288107,0.211893,0.500000
3.0510,0.289674,0.210325,0.500000
3.0670,0.290808,0.209192,0.500000
3.0840,0.291645,0.208354,0.500000
3.1010,0.292103,0.207897,0.500000
3.1170,0.292188,0.207811,0.500000
3.1340,0.291916,0.208083,0.500000
3.1510,0.291279,0.208720,0.500000
3.1670,0.290356,0.209644,0.500000
3.1840,0.289044,0.210956,0.500000
3.2010,0.287407,0.212592,0.500000
3.2170,0.285588,0.214412,0.500000
3.2340,0.283377,0.216622,0.500000
3.2510,0.280906,0.219094,0.500000
3.2670,0.278363,0.221637,0.500000
3.2840,0.275457,0.224543,0.500000
3.3010,0.272369,0.227630,0.500000
3.3170,0.269323,0.230676,0.500000
3.3340,0.265968,0.234032,0.500000
3.3510,0.262520,0.237480,0.500000
3.3670,0.259218,0.240781,0.500000
3.3840,0.255681,0.244318,0.500000
3.4010,0.252145,0.247855,0.500000
3.4170,0.248845,0.251154,0.500000
3.4340,0.245399,0.254601,0.500000
3.4510,0.242042,0.257958,0.500000
3.4670,0.238990,0.261009,0.500000
3.4840,0.235888,0.264112,0.500000
3.5010,0.232955,0.267045,0.500000
3.5170,0.230370,0.269630,0.500000
3.5340,0.227830,0.272169,0.500000
3.5510,0.225523,0.274476,0.500000
3.5670,0.223580,0.276420,0.500000
